PW98-mod (c) Peter Wick
1 0.00045
0.99655 0.00049
0.98638 0.00086
0.96991 0.00181
0.94761 0.00346
0.91998 0.00581
0.88752 0.00885
0.85073 0.01252
0.81018 0.01672
0.7664 0.02134
0.71996 0.02628
0.67144 0.03143
0.62141 0.03664
0.57048 0.04174
0.5192 0.04655
0.46812 0.05089
0.41776 0.05457
0.3686 0.05741
0.32105 0.05928
0.27556 0.06008
0.23256 0.05972
0.19244 0.05815
0.1555 0.05529
0.122 0.05121
0.0922 0.04598
0.0663 0.03974
0.04448 0.03266
0.02687 0.02498
0.01357 0.01708
0.00472 0.00932
0.00042 0.00153
0.00003 0.00012
0 0
0.00006 -0.00018
0.00025 -0.00074
0.00056 -0.00156
0.001 -0.00256
0.00156 -0.00355
0.00224 -0.00433
0.00305 -0.00495
0.00398 -0.00558
0.00504 -0.00626
0.00622 -0.0069
0.00752 -0.00751
0.00895 -0.0081
0.01049 -0.00869
0.01216 -0.00928
0.01395 -0.00987
0.01587 -0.01044
0.0179 -0.011
0.02005 -0.01154
0.02233 -0.01208
0.02472 -0.01259
0.02723 -0.01311
0.02985 -0.01361
0.0326 -0.0141
0.03546 -0.01457
0.03844 -0.01502
0.04153 -0.01547
0.04474 -0.01591
0.04806 -0.01633
0.05149 -0.01674
0.05504 -0.01712
0.05869 -0.0175
0.06246 -0.01788
0.06633 -0.01823
0.07031 -0.01856
0.0744 -0.0189
0.0786 -0.01922
0.0829 -0.01953
0.08731 -0.01982
0.09181 -0.02009
0.09642 -0.02037
0.10113 -0.02062
0.10594 -0.02086
0.11085 -0.0211
0.11585 -0.02132
0.12095 -0.02153
0.12615 -0.02173
0.13144 -0.02191
0.13682 -0.02209
0.14229 -0.02227
0.14785 -0.02243
0.15349 -0.02258
0.15922 -0.02272
0.16504 -0.02284
0.17095 -0.02297
0.18299 -0.02319
0.19536 -0.02339
0.20803 -0.02354
0.22099 -0.02367
0.23422 -0.02378
0.24772 -0.02384
0.26148 -0.02388
0.27547 -0.0239
0.28969 -0.0239
0.30411 -0.02386
0.31873 -0.02381
0.33353 -0.02372
0.3485 -0.02363
0.36361 -0.02351
0.37887 -0.02336
0.39424 -0.0232
0.40972 -0.023
0.42529 -0.0228
0.44094 -0.02258
0.45664 -0.02231
0.47239 -0.02204
0.48816 -0.02175
0.50395 -0.02142
0.51973 -0.0211
0.53549 -0.02073
0.55122 -0.02035
0.56689 -0.01995
0.5825 -0.01954
0.59803 -0.0191
0.61346 -0.01864
0.62877 -0.01817
0.64396 -0.01769
0.65901 -0.01719
0.67389 -0.01667
0.6886 -0.01614
0.70313 -0.0156
0.71745 -0.01504
0.73156 -0.01449
0.74543 -0.01392
0.75906 -0.01334
0.77243 -0.01276
0.78553 -0.01216
0.79835 -0.01158
0.81086 -0.01099
0.82307 -0.01039
0.83496 -0.00981
0.84651 -0.00922
0.85771 -0.00863
0.86856 -0.00807
0.87905 -0.00752
0.88915 -0.00697
0.89887 -0.00642
0.90819 -0.00591
0.9171 -0.00541
0.9256 -0.00493
0.93367 -0.00445
0.94131 -0.004
0.94851 -0.00358
0.95526 -0.00318
0.96156 -0.00281
0.9674 -0.00245
0.97277 -0.00212
0.97768 -0.00183
0.9821 -0.00155
0.98605 -0.00131
0.98951 -0.0011
0.99248 -0.00091
0.99496 -0.00075
0.99695 -0.00063
0.99844 -0.00054
0.99944 -0.00048
0.99975 -0.00046
0.99994 -0.00045
1 -0.00045

http://www.rcgroups.com/forums/showthread.php?t=387891
